"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","246,500","248,000","249,000","245,500","165.33K","-0.60%"
"Apr 25, 2019","248,000","246,000","248,000","245,000","158.50K","0.81%"
"Apr 24, 2019","246,000","243,500","246,500","243,000","142.71K","1.03%"
"Apr 23, 2019","243,500","245,000","245,000","243,000","61.66K","-0.41%"
"Apr 22, 2019","244,500","243,500","245,000","242,500","53.74K","0.41%"
"Apr 19, 2019","243,500","244,000","245,000","243,000","71.46K","-0.41%"
"Apr 18, 2019","244,500","246,000","247,000","243,500","124.40K","-1.21%"
"Apr 17, 2019","247,500","248,000","248,000","246,000","83.14K","0.00%"
"Apr 16, 2019","247,500","245,000","248,000","245,000","109.61K","0.61%"
"Apr 15, 2019","246,000","244,500","247,000","244,500","104.38K","0.41%"
"Apr 12, 2019","245,000","246,000","246,000","244,000","112.31K","0.00%"
"Apr 11, 2019","245,000","247,500","247,500","245,000","174.11K","-0.61%"
"Apr 10, 2019","246,500","244,000","246,500","244,000","132.01K","1.02%"
"Apr 09, 2019","244,000","244,500","246,000","243,500","112.99K","-0.61%"
"Apr 08, 2019","245,500","246,500","247,000","243,500","162.44K","-0.41%"
"Apr 05, 2019","246,500","246,500","247,000","244,000","160.69K","0.41%"
"Apr 04, 2019","245,500","245,000","247,000","243,000","284.78K","1.03%"
"Apr 03, 2019","243,000","249,500","250,000","241,000","645.29K","-3.19%"
"Apr 02, 2019","251,000","253,500","254,500","250,000","177.06K","-1.38%"
"Apr 01, 2019","254,500","251,500","255,500","251,000","179.96K","1.19%"
"Mar 29, 2019","251,500","249,000","251,500","248,500","124.50K","0.00%"
"Mar 28, 2019","251,500","254,000","256,000","250,500","244.30K","-0.59%"
"Mar 27, 2019","253,000","250,000","255,000","249,500","144.73K","1.00%"
"Mar 26, 2019","250,500","253,000","253,500","250,500","143.78K","-0.99%"
"Mar 25, 2019","253,000","253,500","256,500","251,000","273.73K","0.40%"
"Mar 22, 2019","252,000","248,000","253,500","247,000","232.75K","1.00%"
"Mar 21, 2019","249,500","250,000","251,500","248,500","126.44K","-0.60%"
"Mar 20, 2019","251,000","251,500","254,500","249,500","118.81K","-0.79%"
"Mar 19, 2019","253,000","250,500","253,500","249,500","157.77K","0.40%"
"Mar 18, 2019","252,000","253,500","255,500","250,000","118.29K","-0.59%"
"Mar 15, 2019","253,500","247,500","254,000","247,500","217.04K","2.84%"
"Mar 14, 2019","246,500","246,000","249,000","244,500","237.66K","0.41%"
"Mar 13, 2019","245,500","248,000","248,500","244,000","226.47K","-1.01%"
"Mar 12, 2019","248,000","250,500","251,000","248,000","124.50K","-0.40%"
"Mar 11, 2019","249,000","252,000","253,000","248,000","159.63K","-1.19%"
"Mar 08, 2019","252,000","253,500","256,000","251,500","96.41K","-0.79%"
"Mar 07, 2019","254,000","255,000","258,000","253,000","160.43K","-1.55%"
"Mar 06, 2019","258,000","261,500","261,500","258,000","147.64K","-1.15%"
"Mar 05, 2019","261,000","260,500","263,000","259,000","166.00K","0.00%"
"Mar 04, 2019","261,000","260,000","263,500","258,500","184.97K","0.19%"
"Feb 28, 2019","260,500","262,000","264,000","260,500","277.98K","-0.95%"
"Feb 27, 2019","263,000","259,500","263,500","258,500","177.50K","1.35%"
"Feb 26, 2019","259,500","260,000","261,000","258,500","104.59K","-0.19%"
"Feb 25, 2019","260,000","263,500","264,500","259,000","191.26K","-0.38%"
"Feb 22, 2019","261,000","259,500","261,000","258,000","124.65K","0.77%"
"Feb 21, 2019","259,000","259,500","261,500","258,000","131.62K","-0.38%"
"Feb 20, 2019","260,000","259,000","261,500","258,000","136.54K","0.00%"
"Feb 19, 2019","260,000","260,500","262,000","259,000","134.47K","0.19%"
"Feb 18, 2019","259,500","256,000","260,000","255,500","195.42K","1.76%"
"Feb 15, 2019","255,000","258,000","259,500","253,000","346.29K","-1.92%"
"Feb 14, 2019","260,000","259,000","260,000","256,500","239.06K","0.19%"
"Feb 13, 2019","259,500","260,500","260,500","258,000","143.23K","0.00%"
"Feb 12, 2019","259,500","261,500","264,500","259,500","219.80K","-0.57%"
"Feb 11, 2019","261,000","262,000","262,500","260,000","167.69K","0.00%"
"Feb 08, 2019","261,000","258,500","262,500","258,000","237.41K","0.58%"
"Feb 07, 2019","259,500","260,500","261,000","258,000","186.20K","-0.19%"
"Feb 01, 2019","260,000","258,500","262,000","258,000","261.70K","0.78%"
"Jan 31, 2019","258,000","259,000","259,500","256,000","234.48K","-0.19%"
"Jan 30, 2019","258,500","269,000","269,000","257,500","450.85K","-3.36%"
"Jan 29, 2019","267,500","272,000","275,000","267,500","150.71K","-1.83%"
"Jan 28, 2019","272,500","267,500","274,500","266,500","151.79K","1.30%"
"Jan 25, 2019","269,000","268,500","271,500","268,500","135.82K","-0.74%"
"Jan 24, 2019","271,000","268,000","271,500","266,500","139.06K","0.74%"
"Jan 23, 2019","269,000","264,000","270,500","263,500","169.70K","1.89%"
"Jan 22, 2019","264,000","263,500","265,000","261,000","109.24K","0.19%"
"Jan 21, 2019","263,500","269,500","270,000","261,000","185.15K","-2.23%"
"Jan 18, 2019","269,500","270,000","271,000","267,000","71.70K","0.37%"
"Jan 17, 2019","268,500","265,500","270,000","264,500","112.86K","0.37%"
"Jan 16, 2019","267,500","267,000","268,500","265,500","93.12K","-0.37%"
"Jan 15, 2019","268,500","267,500","270,000","265,500","104.02K","0.56%"
"Jan 14, 2019","267,000","264,500","268,000","264,000","132.74K","1.33%"
"Jan 11, 2019","263,500","269,000","269,000","263,500","222.67K","-2.77%"
"Jan 10, 2019","271,000","270,000","271,500","267,000","182.37K","0.56%"
"Jan 09, 2019","269,500","275,500","277,000","268,000","253.18K","-2.36%"
"Jan 08, 2019","276,000","279,000","279,000","272,000","101.02K","-0.18%"
"Jan 07, 2019","276,500","281,000","281,000","276,500","120.06K","-1.07%"
"Jan 04, 2019","279,500","278,000","281,500","274,500","224.12K","1.45%"
"Jan 03, 2019","275,500","273,000","281,000","269,500","290.47K","1.10%"
"Jan 02, 2019","272,500","267,500","273,500","267,500","129.63K","1.11%"
"Dec 28, 2018","269,500","265,500","273,000","262,500","163.06K","1.32%"
"Dec 27, 2018","266,000","262,000","268,500","258,000","143.94K","-1.12%"
"Dec 26, 2018","269,000","273,500","275,000","266,500","176.54K","-2.54%"
"Dec 24, 2018","276,000","276,000","279,000","272,500","140.36K","0.00%"
"Dec 21, 2018","276,000","273,000","277,000","270,000","138.24K","1.10%"
"Dec 20, 2018","273,000","275,000","275,500","265,500","195.30K","0.00%"
"Dec 19, 2018","273,000","271,000","278,500","270,500","177.80K","1.11%"
"Dec 18, 2018","270,000","277,000","279,500","267,000","281.79K","-2.53%"
"Dec 17, 2018","277,000","277,500","281,000","276,000","156.18K","-1.07%"
"Dec 14, 2018","280,000","280,000","283,000","278,500","116.72K","0.00%"
"Dec 13, 2018","280,000","281,500","282,500","278,000","284.23K","-1.06%"
"Dec 12, 2018","283,000","288,000","288,000","281,000","180.68K","-1.57%"
"Dec 11, 2018","287,500","284,000","288,500","282,000","154.43K","1.41%"
"Dec 10, 2018","283,500","282,000","289,500","279,000","172.19K","0.18%"
"Dec 07, 2018","283,000","286,000","286,500","283,000","125.08K","-1.57%"
"Dec 06, 2018","287,500","284,500","290,000","282,500","201.15K","1.95%"
"Dec 05, 2018","282,000","281,500","285,000","278,000","139.85K","1.44%"
"Dec 04, 2018","278,000","281,500","282,500","277,500","208.74K","-1.42%"
"Dec 03, 2018","282,000","289,500","289,500","282,000","173.35K","-2.59%"
"Nov 30, 2018","289,500","285,000","291,000","282,500","261.78K","1.94%"
"Nov 29, 2018","284,000","285,000","289,000","283,500","195.90K","0.00%"
"Nov 28, 2018","284,000","280,000","290,000","279,000","229.17K","1.97%"
"Nov 27, 2018","278,500","277,000","281,500","276,500","100.99K","-0.36%"
"Nov 26, 2018","279,500","283,000","283,000","277,000","130.33K","-0.89%"
"Nov 25, 2018","282,000","283,000","283,000","282,000","-","-0.70%"
"Nov 23, 2018","284,000","286,500","288,000","283,000","79.39K","-0.87%"
"Nov 22, 2018","286,500","279,500","287,500","277,000","134.44K","2.32%"
"Nov 21, 2018","280,000","277,000","283,500","277,000","220.67K","-0.88%"
"Nov 20, 2018","282,500","276,000","284,500","275,500","175.41K","2.36%"
"Nov 19, 2018","276,000","279,000","280,000","273,500","118.57K","-0.90%"
"Nov 18, 2018","278,500","279,500","279,500","278,500","-","-0.18%"
"Nov 16, 2018","279,000","267,000","282,500","267,000","175.66K","4.49%"
"Nov 15, 2018","267,000","268,000","269,000","264,000","116.46K","-1.11%"
