"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","44,850","44,200","45,000","43,800","9.37M","0.45%"
"Apr 25, 2019","44,650","44,250","45,000","44,100","9.52M","-0.22%"
"Apr 24, 2019","44,750","45,400","45,650","44,150","12.18M","-1.00%"
"Apr 23, 2019","45,200","45,050","45,500","45,000","6.88M","-0.33%"
"Apr 22, 2019","45,350","45,400","45,900","45,100","5.90M","0.11%"
"Apr 19, 2019","45,300","45,750","46,000","45,250","8.35M","-0.66%"
"Apr 18, 2019","45,600","47,200","47,250","45,500","10.83M","-3.08%"
"Apr 17, 2019","47,050","47,300","47,600","47,000","5.47M","-0.42%"
"Apr 16, 2019","47,250","47,400","47,400","46,800","7.62M","0.43%"
"Apr 15, 2019","47,050","47,150","47,500","47,000","8.72M","0.43%"
"Apr 12, 2019","46,850","46,050","46,900","46,000","7.65M","1.30%"
"Apr 11, 2019","46,250","46,700","46,800","46,150","13.62M","-0.96%"
"Apr 10, 2019","46,700","46,400","46,700","46,050","10.35M","0.11%"
"Apr 09, 2019","46,650","46,700","46,950","46,200","6.88M","0.00%"
"Apr 08, 2019","46,650","47,250","47,250","46,150","8.49M","-0.43%"
"Apr 05, 2019","46,850","46,950","47,550","46,600","8.53M","-0.21%"
"Apr 04, 2019","46,950","46,150","47,100","46,150","11.44M","0.75%"
"Apr 03, 2019","46,600","46,750","46,750","45,800","12.00M","1.86%"
"Apr 02, 2019","45,750","45,550","46,100","45,350","8.90M","1.55%"
"Apr 01, 2019","45,050","45,200","45,450","44,850","6.79M","0.90%"
"Mar 29, 2019","44,650","44,500","44,900","44,200","11.00M","-0.45%"
"Mar 28, 2019","44,850","44,950","45,200","44,300","6.81M","-1.10%"
"Mar 27, 2019","45,350","44,750","45,600","44,250","9.32M","0.22%"
"Mar 26, 2019","45,250","45,500","45,700","44,900","9.65M","-0.55%"
"Mar 25, 2019","45,500","45,300","45,650","44,800","8.68M","-2.26%"
"Mar 22, 2019","46,550","46,850","47,000","46,250","12.49M","1.53%"
"Mar 21, 2019","45,850","44,600","46,250","44,050","21.03M","4.09%"
"Mar 20, 2019","44,050","43,800","44,200","43,100","9.83M","0.34%"
"Mar 19, 2019","43,900","43,750","43,900","43,550","7.60M","0.46%"
"Mar 18, 2019","43,700","43,950","44,150","43,450","8.16M","-1.13%"
"Mar 15, 2019","44,200","43,800","44,250","43,700","14.61M","0.80%"
"Mar 14, 2019","43,850","43,700","44,300","43,550","18.02M","0.00%"
"Mar 13, 2019","43,850","44,250","44,450","43,700","8.10M","-1.79%"
"Mar 12, 2019","44,650","44,300","44,950","44,150","10.83M","2.29%"
"Mar 11, 2019","43,650","44,400","44,450","43,650","8.51M","-0.34%"
"Mar 08, 2019","43,800","44,450","44,800","43,800","7.70M","-1.46%"
"Mar 07, 2019","44,450","43,400","44,950","43,400","10.99M","1.02%"
"Mar 06, 2019","44,000","44,000","44,300","43,700","9.95M","-0.56%"
"Mar 05, 2019","44,250","44,600","45,100","44,150","10.50M","-1.34%"
"Mar 04, 2019","44,850","46,000","46,100","44,800","12.67M","-0.55%"
"Feb 28, 2019","45,100","46,400","46,500","45,100","23.50M","-3.53%"
"Feb 27, 2019","46,750","47,000","47,250","46,750","7.69M","0.00%"
"Feb 26, 2019","46,750","47,350","47,450","46,500","7.98M","-1.27%"
"Feb 25, 2019","47,350","47,400","47,550","47,050","7.46M","0.42%"
"Feb 22, 2019","47,150","46,500","47,150","46,450","6.67M","0.43%"
"Feb 21, 2019","46,950","46,500","47,200","46,200","8.45M","0.11%"
"Feb 20, 2019","46,900","46,750","47,100","46,500","11.22M","2.07%"
"Feb 19, 2019","45,950","45,850","46,150","45,450","6.73M","-0.54%"
"Feb 18, 2019","46,200","46,500","46,850","45,850","8.17M","0.33%"
"Feb 15, 2019","46,050","46,750","46,850","45,650","10.54M","-3.05%"
"Feb 14, 2019","47,500","46,600","47,500","46,150","17.12M","2.81%"
"Feb 13, 2019","46,200","46,400","46,700","46,000","11.29M","0.33%"
"Feb 12, 2019","46,050","44,650","46,250","44,650","12.99M","2.33%"
"Feb 11, 2019","45,000","44,500","45,000","44,250","10.23M","0.45%"
"Feb 08, 2019","44,800","45,700","45,700","44,650","12.49M","-3.03%"
"Feb 07, 2019","46,200","46,800","47,100","46,200","15.64M","-0.32%"
"Feb 01, 2019","46,350","46,650","46,950","46,250","13.63M","0.43%"
"Jan 31, 2019","46,150","46,650","47,050","46,150","21.47M","-0.54%"
"Jan 30, 2019","46,400","44,800","46,400","44,800","17.06M","1.98%"
"Jan 29, 2019","45,500","45,050","45,500","44,350","15.05M","1.00%"
"Jan 28, 2019","45,050","45,000","45,500","44,600","17.60M","0.67%"
"Jan 25, 2019","44,750","44,300","44,750","43,750","21.94M","3.95%"
"Jan 24, 2019","43,050","43,050","43,100","42,350","14.17M","2.50%"
"Jan 23, 2019","42,000","41,350","42,250","41,350","10.38M","-0.36%"
"Jan 22, 2019","42,150","42,750","42,850","41,850","9.91M","-1.40%"
"Jan 21, 2019","42,750","42,700","42,750","41,900","11.34M","1.06%"
"Jan 18, 2019","42,300","42,000","42,400","41,950","9.73M","0.83%"
"Jan 17, 2019","41,950","41,700","42,100","41,450","11.57M","1.21%"
