"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","43,700","44,450","44,600","43,450","786.98K","-1.69%"
"Apr 25, 2019","44,450","43,900","44,450","43,850","536.65K","0.91%"
"Apr 24, 2019","44,050","44,900","45,100","43,800","941.92K","-2.22%"
"Apr 23, 2019","45,050","44,700","45,050","44,300","511.70K","0.78%"
"Apr 22, 2019","44,700","44,500","44,900","44,200","403.91K","0.11%"
"Apr 19, 2019","44,650","44,950","45,250","44,650","383.10K","-1.11%"
"Apr 18, 2019","45,150","45,850","45,850","44,850","420.46K","-0.88%"
"Apr 17, 2019","45,550","45,450","45,750","45,150","412.78K","-0.33%"
"Apr 16, 2019","45,700","45,050","45,900","45,050","621.00K","0.11%"
"Apr 15, 2019","45,650","45,700","46,000","45,450","644.56K","-0.33%"
"Apr 12, 2019","45,800","45,750","45,900","45,200","775.79K","0.11%"
"Apr 11, 2019","45,750","46,000","46,000","45,100","1.20M","0.00%"
"Apr 10, 2019","45,750","44,900","45,750","44,800","852.66K","0.55%"
"Apr 09, 2019","45,500","44,900","45,700","44,900","558.03K","-0.22%"
"Apr 08, 2019","45,600","45,600","46,000","45,400","665.96K","0.00%"
"Apr 05, 2019","45,600","45,900","45,900","44,800","709.58K","0.33%"
"Apr 04, 2019","45,450","44,900","45,850","44,900","818.70K","0.33%"
"Apr 03, 2019","45,300","44,700","45,300","44,200","1.06M","1.12%"
"Apr 02, 2019","44,800","44,000","45,000","43,950","1.28M","2.40%"
"Apr 01, 2019","43,750","44,200","44,200","42,900","1.15M","4.17%"
"Mar 29, 2019","42,000","42,350","42,750","41,600","1.31M","-0.12%"
"Mar 28, 2019","42,050","42,400","43,100","41,600","762.25K","-1.64%"
"Mar 27, 2019","42,750","42,500","43,250","42,500","764.51K","0.00%"
"Mar 26, 2019","42,750","42,600","43,300","42,550","1.22M","-0.47%"
"Mar 25, 2019","42,950","43,150","43,550","42,800","1.05M","-0.69%"
"Mar 22, 2019","43,250","42,500","43,550","42,500","774.25K","-0.12%"
"Mar 21, 2019","43,300","43,850","44,100","42,950","1.23M","-1.81%"
"Mar 20, 2019","44,100","43,800","44,100","43,400","525.95K","0.34%"
"Mar 19, 2019","43,950","44,400","44,400","43,400","491.57K","-0.34%"
"Mar 18, 2019","44,100","43,750","44,200","43,700","552.08K","-0.23%"
"Mar 15, 2019","44,200","44,250","44,700","43,750","1.41M","0.91%"
"Mar 14, 2019","43,800","43,800","44,000","43,300","1.38M","1.51%"
"Mar 13, 2019","43,150","43,000","43,400","42,850","736.79K","0.35%"
"Mar 12, 2019","43,000","43,200","43,300","42,800","627.26K","0.23%"
"Mar 11, 2019","42,900","43,150","43,400","42,550","809.75K","2.14%"
"Mar 08, 2019","42,000","42,600","42,600","41,900","743.67K","-1.52%"
"Mar 07, 2019","42,650","42,900","43,200","42,200","795.86K","0.12%"
"Mar 06, 2019","42,600","43,000","43,100","42,000","901.27K","-0.35%"
"Mar 05, 2019","42,750","43,150","43,250","42,400","906.11K","-0.12%"
"Mar 04, 2019","42,800","44,350","44,350","42,600","1.29M","-1.95%"
"Feb 28, 2019","43,650","43,450","43,900","43,150","1.56M","0.92%"
"Feb 27, 2019","43,250","42,700","43,450","42,300","1.05M","0.58%"
"Feb 26, 2019","43,000","43,300","43,450","42,600","1.12M","-1.71%"
"Feb 25, 2019","43,750","43,550","44,000","43,250","741.92K","0.11%"
"Feb 22, 2019","43,700","43,250","43,850","43,000","744.69K","0.92%"
"Feb 21, 2019","43,300","42,900","43,350","42,750","657.82K","0.46%"
"Feb 20, 2019","43,100","42,950","43,500","42,550","1.12M","0.58%"
"Feb 19, 2019","42,850","43,050","43,300","42,600","905.50K","-1.72%"
"Feb 18, 2019","43,600","43,600","44,100","43,550","844.55K","-0.23%"
"Feb 15, 2019","43,700","43,800","44,000","43,050","701.85K","-1.24%"
"Feb 14, 2019","44,250","43,350","44,250","42,900","1.32M","2.08%"
"Feb 13, 2019","43,350","42,500","43,450","41,950","953.26K","2.12%"
"Feb 12, 2019","42,450","43,900","43,900","42,300","1.37M","-1.96%"
"Feb 11, 2019","43,300","43,850","43,900","43,000","763.68K","-1.25%"
"Feb 08, 2019","43,850","43,450","43,950","43,150","796.10K","0.34%"
"Feb 07, 2019","43,700","44,050","44,050","42,850","1.12M","0.46%"
"Feb 01, 2019","43,500","43,500","44,250","43,200","1.41M","0.69%"
"Jan 31, 2019","43,200","43,000","43,650","42,650","1.49M","1.41%"
"Jan 30, 2019","42,600","42,400","42,600","41,600","1.27M","0.83%"
"Jan 29, 2019","42,250","42,250","42,400","41,900","1.01M","-0.24%"
"Jan 28, 2019","42,350","42,300","42,600","41,850","986.38K","0.36%"
"Jan 25, 2019","42,200","41,350","42,250","41,250","1.26M","0.60%"
"Jan 24, 2019","41,950","41,450","42,000","41,150","1.52M","3.33%"
"Jan 23, 2019","40,600","40,550","40,950","40,150","1.06M","0.00%"
"Jan 22, 2019","40,600","40,500","40,800","40,500","1.07M","0.00%"
"Jan 21, 2019","40,600","40,700","40,900","40,350","936.26K","-0.37%"
"Jan 18, 2019","40,750","41,000","41,100","40,650","804.11K","-1.45%"
"Jan 17, 2019","41,350","41,600","41,650","40,450","1.24M","1.35%"
"Jan 16, 2019","40,800","39,950","40,850","39,700","1.37M","2.77%"
"Jan 15, 2019","39,700","38,650","39,750","38,500","1.28M","3.52%"
"Jan 14, 2019","38,350","38,550","38,800","38,100","966.74K","-0.26%"
"Jan 11, 2019","38,450","38,500","39,050","38,350","1.02M","0.26%"
"Jan 10, 2019","38,350","39,250","39,300","38,350","1.62M","-2.54%"
"Jan 09, 2019","39,350","38,550","39,600","38,500","912.71K","2.21%"
