"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","103,000","104,000","104,500","102,000","415.14K","-1.90%"
"Apr 25, 2019","105,000","107,500","108,500","104,500","747.59K","-4.98%"
"Apr 24, 2019","110,500","112,500","113,000","110,500","142.53K","-1.78%"
"Apr 23, 2019","112,500","111,000","113,000","111,000","145.80K","0.90%"
"Apr 22, 2019","111,500","112,000","112,000","110,500","183.37K","0.00%"
"Apr 19, 2019","111,500","111,500","111,500","110,000","125.77K","0.45%"
"Apr 18, 2019","111,000","112,000","113,000","110,500","146.63K","-1.77%"
"Apr 17, 2019","113,000","113,500","114,000","112,000","153.10K","0.00%"
"Apr 16, 2019","113,000","111,000","113,000","110,500","194.72K","1.80%"
"Apr 15, 2019","111,000","111,500","112,500","110,500","197.60K","-0.45%"
"Apr 12, 2019","111,500","112,000","112,000","110,500","129.53K","0.00%"
"Apr 11, 2019","111,500","111,000","112,000","110,000","335.07K","0.45%"
"Apr 10, 2019","111,000","111,000","111,500","109,000","178.90K","-0.45%"
"Apr 09, 2019","111,500","110,500","112,500","110,000","140.81K","0.90%"
"Apr 08, 2019","110,500","111,000","111,500","110,000","114.24K","-0.45%"
"Apr 05, 2019","111,000","111,500","112,500","110,500","109.98K","-0.45%"
"Apr 04, 2019","111,500","112,000","112,000","111,000","199.03K","-0.89%"
"Apr 03, 2019","112,500","108,500","112,500","108,500","270.62K","3.21%"
"Apr 02, 2019","109,000","108,000","109,500","108,000","138.20K","0.93%"
"Apr 01, 2019","108,000","107,500","109,000","107,500","94.86K","0.93%"
"Mar 29, 2019","107,000","106,500","108,000","106,500","126.86K","0.47%"
"Mar 28, 2019","106,500","107,500","107,500","105,500","149.88K","-1.39%"
"Mar 27, 2019","108,000","106,000","108,500","106,000","195.38K","1.89%"
"Mar 26, 2019","106,000","106,500","107,000","105,000","243.79K","0.00%"
"Mar 25, 2019","106,000","106,500","107,500","106,000","153.57K","-1.40%"
"Mar 22, 2019","107,500","109,500","110,000","107,500","182.82K","-1.38%"
"Mar 21, 2019","109,000","109,500","110,500","109,000","204.23K","-0.91%"
"Mar 20, 2019","110,000","109,500","110,000","108,500","158.16K","0.00%"
"Mar 19, 2019","110,000","109,500","110,500","109,000","120.13K","0.00%"
"Mar 18, 2019","110,000","110,000","110,500","109,000","148.54K","-0.45%"
"Mar 15, 2019","110,500","107,000","110,500","107,000","443.41K","2.31%"
"Mar 14, 2019","108,000","108,500","109,000","108,000","368.27K","0.00%"
