"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","78,600","78,500","79,900","77,600","4.71M","-2.00%"
"Apr 25, 2019","80,200","78,400","81,500","78,100","5.36M","2.17%"
"Apr 24, 2019","78,500","81,500","81,500","77,500","4.10M","-3.09%"
"Apr 23, 2019","81,000","81,000","81,800","80,400","1.78M","0.62%"
"Apr 22, 2019","80,500","81,500","81,800","79,900","1.89M","-1.59%"
"Apr 19, 2019","81,800","80,500","82,400","80,100","3.04M","3.28%"
"Apr 18, 2019","79,200","80,800","81,200","78,500","3.08M","-1.25%"
"Apr 17, 2019","80,200","81,000","82,300","80,000","2.85M","-0.25%"
"Apr 16, 2019","80,400","79,900","80,800","79,100","2.20M","0.88%"
"Apr 15, 2019","79,700","79,000","79,900","78,600","2.02M","2.05%"
"Apr 12, 2019","78,100","77,400","78,800","77,400","1.97M","-0.38%"
"Apr 11, 2019","78,400","79,200","79,500","78,000","2.15M","-0.25%"
"Apr 10, 2019","78,600","76,700","78,800","76,200","2.46M","1.03%"
"Apr 09, 2019","77,800","77,700","78,700","77,400","2.32M","-0.13%"
"Apr 08, 2019","77,900","78,900","79,200","77,600","2.65M","-1.39%"
"Apr 05, 2019","79,000","78,200","79,300","77,900","2.06M","0.77%"
"Apr 04, 2019","78,400","80,400","81,400","77,800","5.30M","-1.88%"
"Apr 03, 2019","79,900","76,800","79,900","76,500","4.66M","4.58%"
"Apr 02, 2019","76,400","77,900","78,000","76,100","2.62M","-0.26%"
"Apr 01, 2019","76,600","75,600","77,100","75,500","3.57M","3.23%"
"Mar 29, 2019","74,200","72,900","74,900","72,700","3.21M","2.63%"
"Mar 28, 2019","72,300","72,300","73,600","71,700","2.77M","-1.50%"
"Mar 27, 2019","73,400","71,800","74,100","71,200","2.74M","0.96%"
"Mar 26, 2019","72,700","72,900","73,300","71,500","2.97M","-0.27%"
"Mar 25, 2019","72,900","73,700","74,200","72,600","3.74M","-4.20%"
"Mar 22, 2019","76,100","78,900","78,900","75,900","5.28M","0.26%"
"Mar 21, 2019","75,900","73,500","76,000","72,600","10.00M","7.66%"
"Mar 20, 2019","70,500","68,400","70,600","67,600","3.59M","3.68%"
"Mar 19, 2019","68,000","67,300","68,000","66,600","2.24M","0.29%"
"Mar 18, 2019","67,800","69,200","69,300","67,300","2.15M","-0.44%"
"Mar 15, 2019","68,100","67,400","68,700","66,700","3.46M","1.19%"
"Mar 14, 2019","67,300","67,400","67,400","66,400","3.10M","0.75%"
"Mar 13, 2019","66,800","67,700","67,800","65,900","2.85M","-1.33%"
"Mar 12, 2019","67,700","67,700","68,600","67,500","2.75M","1.65%"
"Mar 11, 2019","66,600","67,000","67,800","66,200","2.86M","-0.15%"
"Mar 08, 2019","66,700","67,900","68,200","66,200","3.55M","-2.06%"
"Mar 07, 2019","68,100","67,200","68,900","67,100","3.39M","0.00%"
"Mar 06, 2019","68,100","68,500","69,600","67,400","4.89M","-2.30%"
"Mar 05, 2019","69,700","68,300","70,000","68,300","3.46M","-0.57%"
"Mar 04, 2019","70,100","70,300","71,400","69,900","4.90M","0.14%"
"Feb 28, 2019","70,000","72,500","72,600","69,900","7.79M","-5.02%"
"Feb 27, 2019","73,700","75,300","75,700","73,700","2.86M","-1.99%"
"Feb 26, 2019","75,200","75,000","75,900","74,100","2.48M","-0.27%"
"Feb 25, 2019","75,400","77,300","77,600","74,800","2.86M","-1.69%"
"Feb 22, 2019","76,700","75,600","76,700","75,300","1.88M","0.00%"
"Feb 21, 2019","76,700","75,300","77,200","74,600","2.87M","1.32%"
"Feb 20, 2019","75,700","73,700","76,000","73,600","3.13M","2.71%"
"Feb 19, 2019","73,700","74,500","74,800","73,000","1.46M","-1.34%"
"Feb 18, 2019","74,700","74,300","75,300","74,000","1.77M","1.22%"
"Feb 15, 2019","73,800","76,800","76,900","73,800","3.99M","-4.65%"
"Feb 14, 2019","77,400","75,800","77,400","75,100","2.31M","1.57%"
"Feb 13, 2019","76,200","77,300","77,600","76,100","2.36M","0.40%"
"Feb 12, 2019","75,900","74,100","76,400","73,900","3.50M","2.43%"
"Feb 11, 2019","74,100","73,000","74,100","72,200","3.37M","0.82%"
"Feb 08, 2019","73,500","75,200","75,500","73,000","4.00M","-4.17%"
"Feb 07, 2019","76,700","77,500","78,200","76,600","4.13M","1.05%"
"Feb 01, 2019","75,900","75,400","76,400","74,700","3.34M","2.71%"
"Jan 31, 2019","73,900","76,900","77,100","73,700","4.36M","-2.64%"
"Jan 30, 2019","75,900","73,500","76,300","73,000","5.29M","3.41%"
"Jan 29, 2019","73,400","71,400","73,800","71,000","3.37M","2.23%"
"Jan 28, 2019","71,800","74,700","74,900","71,200","4.89M","-3.75%"
"Jan 25, 2019","74,600","71,600","74,800","71,100","7.04M","5.82%"
"Jan 24, 2019","70,500","66,900","70,500","66,900","6.89M","5.54%"
"Jan 23, 2019","66,800","65,500","67,200","64,800","2.82M","0.30%"
"Jan 22, 2019","66,600","67,900","68,000","65,700","4.00M","-0.60%"
"Jan 21, 2019","67,000","65,900","67,400","65,000","3.77M","3.72%"
"Jan 18, 2019","64,600","65,000","65,700","63,900","2.05M","-0.46%"
"Jan 17, 2019","64,900","65,500","66,200","64,600","2.47M","0.15%"
"Jan 16, 2019","64,800","63,800","64,900","62,700","2.47M","1.25%"
"Jan 15, 2019","64,000","62,200","64,000","62,200","2.41M","3.06%"
"Jan 14, 2019","62,100","64,300","65,100","62,000","3.28M","-4.61%"
"Jan 11, 2019","65,100","65,400","65,900","64,200","2.78M","-0.31%"
"Jan 10, 2019","65,300","64,100","65,600","64,000","5.32M","2.67%"
"Jan 09, 2019","63,600","59,600","63,800","59,400","4.92M","7.43%"
"Jan 08, 2019","59,200","57,900","60,500","57,600","3.06M","0.85%"
"Jan 07, 2019","58,700","59,000","59,700","58,400","2.17M","0.69%"
"Jan 04, 2019","58,300","57,500","58,500","56,700","3.37M","1.04%"
"Jan 03, 2019","57,700","60,200","60,300","57,500","3.32M","-4.79%"
"Jan 02, 2019","60,600","61,300","61,400","60,000","1.92M","0.17%"
"Dec 28, 2018","60,500","61,700","62,300","60,500","1.61M","-1.79%"
"Dec 27, 2018","61,600","61,600","61,900","60,600","3.04M","2.50%"
"Dec 26, 2018","60,100","59,400","60,800","59,300","2.44M","-0.50%"
"Dec 24, 2018","60,400","59,600","60,700","59,200","2.05M","0.67%"
"Dec 21, 2018","60,000","58,200","60,500","58,200","3.93M","2.39%"
"Dec 20, 2018","58,600","59,300","59,400","58,100","4.52M","-2.82%"
"Dec 19, 2018","60,300","60,800","61,000","59,700","3.54M","-1.31%"
"Dec 18, 2018","61,100","61,000","61,900","60,800","3.09M","-1.77%"
"Dec 17, 2018","62,200","61,600","62,500","61,000","2.50M","0.65%"
"Dec 14, 2018","61,800","65,200","65,300","61,200","5.47M","-5.65%"
"Dec 13, 2018","65,500","66,300","66,400","64,800","4.03M","-1.06%"
"Dec 12, 2018","66,200","65,000","66,200","64,900","2.56M","2.00%"
"Dec 11, 2018","64,900","66,000","66,600","64,800","2.40M","-0.92%"
"Dec 10, 2018","65,500","65,900","65,900","64,700","2.20M","-1.95%"
"Dec 07, 2018","66,800","66,700","67,400","66,600","2.53M","1.21%"
"Dec 06, 2018","66,000","67,800","68,200","65,700","3.73M","-3.23%"
"Dec 05, 2018","68,200","67,200","68,800","67,200","2.84M","-1.16%"
"Dec 04, 2018","69,000","69,900","70,400","68,400","3.21M","-2.13%"
"Dec 03, 2018","70,500","71,000","71,100","69,800","2.69M","1.29%"
"Nov 30, 2018","69,600","71,500","71,600","68,800","4.16M","-2.66%"
"Nov 29, 2018","71,500","73,700","73,700","71,200","3.26M","-0.56%"
"Nov 28, 2018","71,900","71,000","72,000","70,700","2.43M","1.55%"
"Nov 27, 2018","70,800","71,100","71,200","69,700","2.29M","-0.14%"
"Nov 26, 2018","70,900","69,200","71,300","69,000","2.35M","2.16%"
"Nov 25, 2018","69,400","69,300","69,400","69,100","-","0.14%"
"Nov 23, 2018","69,300","69,500","69,700","68,400","1.49M","0.00%"
"Nov 22, 2018","69,300","68,100","69,700","68,000","1.96M","1.76%"
"Nov 21, 2018","68,100","66,900","68,300","66,100","3.09M","0.89%"
"Nov 20, 2018","67,500","67,000","68,200","67,000","3.24M","-3.30%"
"Nov 19, 2018","69,800","69,600","70,500","68,900","2.30M","0.00%"
"Nov 18, 2018","69,800","69,700","69,800","69,700","-","-0.43%"
"Nov 16, 2018","70,100","72,600","72,900","70,000","2.88M","-2.37%"
"Nov 15, 2018","71,800","70,800","71,800","70,400","1.56M","1.99%"
"Nov 14, 2018","70,400","71,400","72,100","70,200","2.77M","-2.09%"
"Nov 13, 2018","71,900","72,300","72,500","69,900","4.60M","-3.49%"
"Nov 12, 2018","74,500","72,200","74,500","71,800","3.33M","3.33%"
"Nov 11, 2018","72,100","72,200","72,200","72,100","-","-1.10%"
"Nov 09, 2018","72,900","72,400","73,600","71,900","3.36M","0.00%"
"Nov 08, 2018","72,900","72,900","73,300","72,600","3.93M","2.97%"
