"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","45,400","45,650","45,700","45,100","1.04M","-0.77%"
"Apr 25, 2019","45,750","46,000","46,000","45,000","1.30M","0.88%"
"Apr 24, 2019","45,350","46,300","46,350","45,300","1.27M","-1.20%"
"Apr 23, 2019","45,900","45,550","45,900","45,150","803.00K","1.55%"
"Apr 22, 2019","45,200","45,300","45,800","45,000","812.46K","-0.33%"
"Apr 19, 2019","45,350","45,850","46,050","45,300","464.19K","-0.87%"
"Apr 18, 2019","45,750","46,650","46,650","45,450","1.35M","-0.87%"
"Apr 17, 2019","46,150","46,250","46,400","45,850","991.77K","-0.32%"
"Apr 16, 2019","46,300","45,750","46,350","45,600","1.65M","1.31%"
"Apr 15, 2019","45,700","45,400","45,850","45,350","1.07M","0.55%"
"Apr 12, 2019","45,450","45,300","45,600","44,850","1.10M","0.55%"
"Apr 11, 2019","45,200","45,300","45,350","44,850","1.42M","0.00%"
"Apr 10, 2019","45,200","44,250","45,200","43,900","1.38M","0.89%"
"Apr 09, 2019","44,800","44,700","45,150","44,450","991.37K","-0.44%"
"Apr 08, 2019","45,000","45,400","45,700","44,950","851.17K","-0.66%"
"Apr 05, 2019","45,300","45,550","45,550","44,900","678.30K","-0.22%"
"Apr 04, 2019","45,400","45,300","45,650","45,250","898.32K","0.33%"
"Apr 03, 2019","45,250","44,400","45,300","44,200","1.39M","0.56%"
"Apr 02, 2019","45,000","44,500","45,200","44,400","2.68M","2.27%"
"Apr 01, 2019","44,000","42,600","44,250","42,500","2.41M","5.14%"
"Mar 29, 2019","41,850","41,200","41,900","41,000","1.73M","2.70%"
"Mar 28, 2019","40,750","41,500","41,700","40,650","1.25M","-1.69%"
"Mar 27, 2019","41,450","41,550","41,900","41,450","813.98K","0.12%"
"Mar 26, 2019","41,400","41,500","41,950","41,400","1.34M","-0.36%"
"Mar 25, 2019","41,550","41,900","42,000","41,550","1.08M","-2.24%"
"Mar 22, 2019","42,500","42,700","43,050","42,500","1.36M","-1.16%"
"Mar 21, 2019","43,000","43,000","43,600","42,850","1.82M","-1.15%"
"Mar 20, 2019","43,500","43,550","43,700","43,300","911.05K","-0.80%"
"Mar 19, 2019","43,850","43,900","44,050","43,350","807.12K","-0.57%"
"Mar 18, 2019","44,100","44,000","44,450","43,950","901.69K","0.34%"
"Mar 15, 2019","43,950","43,000","44,100","42,950","3.32M","3.05%"
"Mar 14, 2019","42,650","42,500","43,100","42,350","2.72M","1.07%"
"Mar 13, 2019","42,200","42,750","42,950","41,800","1.31M","-1.75%"
"Mar 12, 2019","42,950","42,600","43,300","42,400","992.43K","0.59%"
"Mar 11, 2019","42,700","42,300","43,000","42,050","1.03M","1.30%"
"Mar 08, 2019","42,150","42,750","42,750","42,100","1.54M","-2.20%"
"Mar 07, 2019","43,100","43,000","43,400","42,850","1.06M","0.23%"
"Mar 06, 2019","43,000","43,100","43,400","42,600","1.44M","-0.35%"
"Mar 05, 2019","43,150","43,150","43,600","42,900","1.97M","0.23%"
"Mar 04, 2019","43,050","44,700","44,700","43,000","3.15M","-2.93%"
"Feb 28, 2019","44,350","44,650","44,950","44,350","2.24M","-0.67%"
"Feb 27, 2019","44,650","45,000","45,200","44,600","1.85M","-1.22%"
"Feb 26, 2019","45,200","45,700","45,850","45,200","1.25M","-1.53%"
"Feb 25, 2019","45,900","45,300","45,950","45,300","1.12M","0.55%"
"Feb 22, 2019","45,650","45,250","45,700","45,050","1.22M","0.22%"
"Feb 21, 2019","45,550","45,600","46,000","45,550","1.30M","-0.65%"
"Feb 20, 2019","45,850","45,650","46,000","45,400","2.03M","-0.43%"
"Feb 19, 2019","46,050","46,100","46,300","45,600","948.68K","-0.11%"
"Feb 18, 2019","46,100","46,050","46,450","46,000","1.07M","0.22%"
"Feb 15, 2019","46,000","45,900","46,200","45,600","908.75K","-0.43%"
"Feb 14, 2019","46,200","46,050","46,300","45,800","1.52M","0.11%"
"Feb 13, 2019","46,150","45,700","46,250","45,500","1.21M","1.43%"
"Feb 12, 2019","45,500","46,000","46,150","45,350","2.05M","-1.83%"
"Feb 11, 2019","46,350","47,150","47,250","46,250","1.80M","-3.64%"
"Feb 08, 2019","48,100","47,750","48,800","47,750","1.08M","0.10%"
"Feb 07, 2019","48,050","48,350","48,900","47,800","1.04M","-1.13%"
"Feb 01, 2019","48,600","48,300","49,200","47,850","1.59M","1.14%"
"Jan 31, 2019","48,050","47,100","48,900","46,800","2.27M","3.00%"
"Jan 30, 2019","46,650","46,400","46,650","45,700","1.17M","1.19%"
"Jan 29, 2019","46,100","45,800","46,150","45,600","832.56K","0.66%"
"Jan 28, 2019","45,800","46,300","46,500","45,800","1.17M","-1.08%"
"Jan 25, 2019","46,300","45,950","46,300","45,400","1.13M","0.87%"
"Jan 24, 2019","45,900","45,200","46,100","45,150","1.28M","1.21%"
"Jan 23, 2019","45,350","45,850","45,850","45,100","1.50M","-0.87%"
"Jan 22, 2019","45,750","45,600","45,800","45,300","1.36M","-0.76%"
"Jan 21, 2019","46,100","46,500","46,700","46,000","1.19M","-1.28%"
"Jan 18, 2019","46,700","47,350","47,400","46,550","1.05M","-1.89%"
"Jan 17, 2019","47,600","47,800","47,850","47,050","874.63K","0.32%"
"Jan 16, 2019","47,450","46,900","47,700","46,450","1.04M","1.50%"
"Jan 15, 2019","46,750","45,000","46,750","44,800","1.31M","4.94%"
"Jan 14, 2019","44,550","45,450","45,850","44,400","1.19M","-1.76%"
"Jan 11, 2019","45,350","45,550","46,100","45,150","1.06M","-0.33%"
"Jan 10, 2019","45,500","46,500","46,500","45,500","1.19M","-2.05%"
"Jan 09, 2019","46,450","46,050","46,650","45,800","885.36K","2.09%"
"Jan 08, 2019","45,500","45,900","45,950","45,300","842.05K","0.11%"
"Jan 07, 2019","45,450","45,800","46,650","45,450","957.13K","-0.44%"
"Jan 04, 2019","45,650","46,500","46,600","45,600","783.66K","-1.72%"
"Jan 03, 2019","46,450","46,600","46,800","46,200","1.28M","1.09%"
"Jan 02, 2019","45,950","46,700","46,900","45,600","635.98K","-1.18%"
"Dec 28, 2018","46,500","45,700","46,500","45,700","827.22K","2.31%"
"Dec 27, 2018","45,450","46,500","46,550","45,250","1.33M","-4.92%"
"Dec 26, 2018","47,800","48,300","48,700","47,050","1.20M","-1.95%"
"Dec 24, 2018","48,750","48,400","49,100","48,200","606.19K","-0.41%"
"Dec 21, 2018","48,950","48,650","48,950","47,850","1.14M","0.20%"
"Dec 20, 2018","48,850","48,400","49,250","48,350","1.04M","1.35%"
"Dec 19, 2018","48,200","48,700","48,950","48,100","1.06M","-1.53%"
"Dec 18, 2018","48,950","48,350","49,150","48,200","1.20M","1.56%"
"Dec 17, 2018","48,200","48,100","48,900","48,100","880.96K","0.52%"
"Dec 14, 2018","47,950","47,450","48,200","47,300","928.85K","1.37%"
"Dec 13, 2018","47,300","46,800","47,750","46,450","2.22M","1.07%"
"Dec 12, 2018","46,800","45,700","47,050","45,350","936.88K","2.63%"
"Dec 11, 2018","45,600","45,000","45,800","44,200","1.32M","0.88%"
"Dec 10, 2018","45,200","46,700","46,800","45,000","1.72M","-3.93%"
"Dec 07, 2018","47,050","47,250","47,750","47,050","842.40K","-1.47%"
"Dec 06, 2018","47,750","48,400","48,400","47,550","819.18K","-0.52%"
"Dec 05, 2018","48,000","47,600","48,100","47,100","1.16M","0.10%"
"Dec 04, 2018","47,950","47,150","47,950","47,150","1.12M","1.59%"
"Dec 03, 2018","47,200","47,950","48,400","46,950","1.30M","0.00%"
"Nov 30, 2018","47,200","48,350","48,650","46,850","2.07M","-2.68%"
"Nov 29, 2018","48,500","48,950","48,950","48,050","1.34M","0.31%"
"Nov 28, 2018","48,350","48,650","48,650","47,800","1.04M","0.00%"
"Nov 27, 2018","48,350","47,650","48,550","47,650","1.13M","1.58%"
"Nov 26, 2018","47,600","47,150","47,600","46,900","947.03K","1.06%"
"Nov 25, 2018","47,100","47,100","47,100","47,100","-","0.53%"
"Nov 23, 2018","46,850","47,000","47,200","46,650","412.55K","-0.11%"
"Nov 22, 2018","46,900","46,700","46,950","46,200","599.05K","0.75%"
"Nov 21, 2018","46,550","46,600","46,950","45,900","1.13M","-0.85%"
"Nov 20, 2018","46,950","46,800","47,000","46,600","1.06M","0.11%"
"Nov 19, 2018","46,900","47,100","47,500","46,850","748.03K","-0.74%"
"Nov 18, 2018","47,250","47,200","47,250","47,200","-","0.32%"
"Nov 16, 2018","47,100","47,300","47,450","46,950","753.42K","0.00%"
"Nov 15, 2018","47,100","47,300","47,750","47,000","893.69K","0.00%"
"Nov 14, 2018","47,100","47,100","47,400","46,850","804.43K","0.11%"
"Nov 13, 2018","47,050","47,100","47,100","46,650","1.36M","-1.36%"
"Nov 12, 2018","47,700","47,650","48,100","47,600","928.25K","0.00%"
"Nov 11, 2018","47,700","47,700","47,700","47,700","-","-0.21%"
"Nov 09, 2018","47,800","48,450","48,800","47,750","1.36M","-1.34%"
"Nov 08, 2018","48,450","48,600","49,550","48,450","1.52M","0.94%"
"Nov 07, 2018","48,000","48,550","48,950","47,700","1.03M","-1.13%"
"Nov 06, 2018","48,550","48,850","49,000","48,250","786.31K","-0.21%"
"Nov 05, 2018","48,650","48,750","48,900","48,050","986.76K","-0.41%"
"Nov 04, 2018","48,850","48,850","48,850","48,850","-","-0.41%"
