"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","27,900","27,900","28,850","27,850","2.00M","0.18%"
"Apr 25, 2019","27,850","28,150","28,300","27,700","1.00M","-1.07%"
"Apr 24, 2019","28,150","28,700","28,700","28,000","1.65M","-1.92%"
"Apr 23, 2019","28,700","28,900","28,900","28,550","966.14K","-0.69%"
"Apr 22, 2019","28,900","28,950","29,100","28,800","742.39K","0.17%"
"Apr 19, 2019","28,850","28,900","29,050","28,650","900.94K","0.00%"
"Apr 18, 2019","28,850","28,900","29,200","28,700","1.23M","-0.17%"
"Apr 17, 2019","28,900","29,450","29,450","28,750","1.34M","-1.37%"
"Apr 16, 2019","29,300","29,100","29,400","29,000","903.24K","0.51%"
"Apr 15, 2019","29,150","29,150","29,250","29,000","899.61K","0.17%"
"Apr 12, 2019","29,100","29,350","29,450","28,950","1.13M","-0.34%"
"Apr 11, 2019","29,200","29,650","29,650","29,100","1.51M","-1.52%"
"Apr 10, 2019","29,650","28,800","29,650","28,250","2.17M","3.13%"
"Apr 09, 2019","28,750","29,150","29,450","28,750","1.32M","-2.21%"
"Apr 08, 2019","29,400","28,750","29,400","28,300","2.79M","0.68%"
"Apr 05, 2019","29,200","29,900","30,150","29,100","3.37M","-3.15%"
"Apr 04, 2019","30,150","30,300","30,350","29,850","1.17M","-0.50%"
"Apr 03, 2019","30,300","30,100","30,350","30,000","1.26M","0.17%"
"Apr 02, 2019","30,250","30,300","30,600","29,900","1.08M","-0.33%"
"Apr 01, 2019","30,350","29,750","30,400","29,550","1.76M","1.51%"
"Mar 29, 2019","29,900","30,000","30,300","29,750","2.49M","-2.45%"
"Mar 28, 2019","30,650","31,050","31,300","30,500","1.22M","-2.23%"
"Mar 27, 2019","31,350","31,550","31,650","31,100","717.87K","-0.63%"
"Mar 26, 2019","31,550","31,550","32,000","31,550","644.22K","-0.32%"
"Mar 25, 2019","31,650","32,050","32,200","31,500","1.06M","-0.94%"
"Mar 22, 2019","31,950","31,900","32,250","31,700","1.10M","0.16%"
"Mar 21, 2019","31,900","32,200","32,400","31,750","1.79M","-1.54%"
"Mar 20, 2019","32,400","33,300","33,450","32,050","2.23M","-3.14%"
"Mar 19, 2019","33,450","34,150","34,500","33,300","1.58M","-2.90%"
"Mar 18, 2019","34,450","35,050","35,150","34,300","949.78K","-2.68%"
"Mar 15, 2019","35,400","35,200","35,600","35,100","1.07M","-0.14%"
"Mar 14, 2019","35,450","35,100","35,500","34,900","1.14M","1.00%"
"Mar 13, 2019","35,100","35,000","35,150","34,600","832.77K","-1.13%"
"Mar 12, 2019","35,500","35,350","35,500","35,200","817.96K","1.43%"
"Mar 11, 2019","35,000","34,650","35,200","34,350","710.19K","1.01%"
"Mar 08, 2019","34,650","34,700","35,050","34,550","659.35K","0.00%"
"Mar 07, 2019","34,650","35,400","35,600","34,500","885.15K","-1.70%"
"Mar 06, 2019","35,250","35,700","36,000","35,100","763.51K","-1.12%"
"Mar 05, 2019","35,650","35,800","35,900","35,300","684.01K","-0.42%"
"Mar 04, 2019","35,800","34,700","36,000","34,700","2.02M","2.73%"
"Feb 28, 2019","34,850","34,800","35,600","34,500","1.87M","-0.29%"
"Feb 27, 2019","34,950","34,750","35,150","34,550","1.04M","0.43%"
"Feb 26, 2019","34,800","34,350","35,000","34,250","1.44M","2.35%"
"Feb 25, 2019","34,000","34,300","34,350","33,800","932.66K","-1.02%"
"Feb 22, 2019","34,350","33,250","34,600","33,100","2.30M","3.15%"
"Feb 21, 2019","33,300","33,200","33,450","33,000","764.99K","-0.30%"
"Feb 20, 2019","33,400","33,100","33,650","33,100","1.05M","1.21%"
"Feb 19, 2019","33,000","33,050","33,400","32,900","615.87K","-0.15%"
"Feb 18, 2019","33,050","33,500","33,700","32,850","1.15M","-1.34%"
"Feb 15, 2019","33,500","33,850","34,200","33,250","940.42K","-0.89%"
"Feb 14, 2019","33,800","33,600","33,950","32,900","1.67M","-0.59%"
"Feb 13, 2019","34,000","33,750","34,250","33,550","1.07M","-0.15%"
"Feb 12, 2019","34,050","34,350","34,400","33,700","1.00M","-0.87%"
"Feb 11, 2019","34,350","33,950","34,650","33,550","1.39M","2.08%"
"Feb 08, 2019","33,650","33,650","34,000","33,100","1.23M","0.45%"
"Feb 07, 2019","33,500","34,400","34,400","33,250","1.05M","-1.18%"
"Feb 01, 2019","33,900","34,400","34,450","33,700","1.09M","-1.74%"
"Jan 31, 2019","34,500","33,500","34,800","33,400","2.34M","3.92%"
"Jan 30, 2019","33,200","33,100","33,250","32,300","1.34M","0.76%"
"Jan 29, 2019","32,950","32,900","33,200","32,750","1.35M","0.46%"
"Jan 28, 2019","32,800","32,800","32,950","32,500","1.03M","-0.76%"
"Jan 25, 2019","33,050","32,500","33,250","32,450","1.18M","0.76%"
"Jan 24, 2019","32,800","32,600","32,900","32,400","1.23M","-0.15%"
"Jan 23, 2019","32,850","33,050","33,100","32,600","1.33M","0.61%"
"Jan 22, 2019","32,650","32,600","32,750","32,300","971.26K","0.31%"
"Jan 21, 2019","32,550","33,450","33,750","32,300","2.70M","-3.84%"
"Jan 18, 2019","33,850","34,450","34,550","33,350","1.72M","-1.88%"
"Jan 17, 2019","34,500","34,300","34,700","34,200","952.48K","0.29%"
"Jan 16, 2019","34,400","34,500","34,800","34,150","1.20M","-1.15%"
"Jan 15, 2019","34,800","34,450","35,000","34,400","1.25M","0.29%"
"Jan 14, 2019","34,700","34,650","34,900","34,250","1.08M","0.00%"
"Jan 11, 2019","34,700","34,250","34,700","34,000","1.25M","0.73%"
"Jan 10, 2019","34,450","33,100","34,450","33,100","2.08M","2.68%"
"Jan 09, 2019","33,550","35,450","35,450","33,500","2.79M","-5.36%"
"Jan 08, 2019","35,450","34,400","35,600","34,300","2.13M","3.96%"
"Jan 07, 2019","34,100","34,300","34,300","33,300","2.18M","-0.58%"
"Jan 04, 2019","34,300","35,000","35,400","34,000","2.39M","-1.44%"
"Jan 03, 2019","34,800","34,250","35,150","34,200","2.17M","2.20%"
"Jan 02, 2019","34,050","33,150","34,300","33,150","1.50M","2.87%"
"Dec 28, 2018","33,100","32,350","33,800","32,350","1.23M","1.85%"
"Dec 27, 2018","32,500","32,150","32,950","31,100","1.43M","-0.76%"
"Dec 26, 2018","32,750","32,950","33,500","32,600","1.05M","-1.06%"
"Dec 24, 2018","33,100","33,450","33,600","32,800","940.82K","-1.05%"
"Dec 21, 2018","33,450","34,350","34,350","33,150","1.72M","-2.62%"
"Dec 20, 2018","34,350","34,200","34,500","33,500","1.57M","0.59%"
"Dec 19, 2018","34,150","33,400","34,250","33,400","1.76M","2.55%"
"Dec 18, 2018","33,300","33,300","33,700","33,100","1.55M","1.06%"
"Dec 17, 2018","32,950","32,800","33,200","32,300","1.45M","1.07%"
"Dec 14, 2018","32,600","32,000","32,800","31,750","1.44M","1.56%"
"Dec 13, 2018","32,100","32,150","32,850","32,050","2.26M","0.31%"
"Dec 12, 2018","32,000","32,800","32,800","31,750","1.98M","-1.84%"
"Dec 11, 2018","32,600","32,150","32,900","32,050","2.24M","1.56%"
"Dec 10, 2018","32,100","31,300","32,350","31,150","2.80M","2.72%"
"Dec 07, 2018","31,250","30,800","31,450","30,550","1.91M","1.63%"
"Dec 06, 2018","30,750","30,900","30,950","30,350","1.19M","0.16%"
"Dec 05, 2018","30,700","30,300","30,850","30,100","1.46M","0.33%"
"Dec 04, 2018","30,600","30,000","30,800","30,000","1.87M","2.86%"
"Dec 03, 2018","29,750","29,850","30,200","29,650","1.49M","0.17%"
"Nov 30, 2018","29,700","30,200","30,450","29,450","2.26M","-2.30%"
"Nov 29, 2018","30,400","30,800","30,850","30,150","1.41M","-1.30%"
"Nov 28, 2018","30,800","30,050","30,900","29,750","2.03M","3.18%"
"Nov 27, 2018","29,850","29,200","30,250","28,900","2.39M","1.88%"
"Nov 26, 2018","29,300","28,050","29,450","28,000","2.25M","4.64%"
"Nov 25, 2018","28,000","28,000","28,000","28,000","-","1.45%"
"Nov 23, 2018","27,600","28,200","28,250","27,300","767.72K","-2.13%"
"Nov 22, 2018","28,200","28,550","28,550","27,750","668.85K","0.00%"
"Nov 21, 2018","28,200","28,200","28,250","27,700","981.07K","0.89%"
"Nov 20, 2018","27,950","27,450","27,950","27,350","1.14M","2.19%"
"Nov 19, 2018","27,350","28,000","28,150","27,250","1.07M","-2.50%"
"Nov 18, 2018","28,050","27,900","28,050","27,900","-","0.36%"
"Nov 16, 2018","27,950","27,950","28,150","27,600","1.01M","0.36%"
"Nov 15, 2018","27,850","28,700","29,000","27,850","1.32M","-2.62%"
"Nov 14, 2018","28,600","28,050","28,950","27,850","2.81M","4.57%"
"Nov 13, 2018","27,350","27,550","27,600","27,150","610.31K","-0.73%"
"Nov 12, 2018","27,550","28,200","28,450","27,250","1.04M","-2.48%"
"Nov 11, 2018","28,250","28,150","28,300","28,150","-","0.36%"
"Nov 09, 2018","28,150","27,450","28,250","27,350","1.36M","2.55%"
"Nov 08, 2018","27,450","27,300","27,650","26,900","1.42M","0.92%"
"Nov 07, 2018","27,200","26,700","27,450","26,550","1.32M","1.68%"
"Nov 06, 2018","26,750","27,000","27,100","26,500","920.60K","-1.29%"
