"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","254,500","258,500","258,500","253,000","340.65K","-2.30%"
"Apr 25, 2019","260,500","262,500","262,500","258,500","238.10K","0.77%"
"Apr 24, 2019","258,500","263,000","266,000","257,500","290.90K","-0.96%"
"Apr 23, 2019","261,000","263,000","263,000","260,000","154.19K","-0.95%"
"Apr 22, 2019","263,500","263,500","264,000","260,000","142.81K","0.00%"
"Apr 19, 2019","263,500","271,500","271,500","263,000","244.50K","-2.41%"
"Apr 18, 2019","270,000","273,500","274,500","268,000","214.96K","-0.55%"
"Apr 17, 2019","271,500","268,000","273,000","266,000","241.66K","1.12%"
"Apr 16, 2019","268,500","266,000","269,500","266,000","227.50K","0.19%"
"Apr 15, 2019","268,000","270,500","271,500","266,500","172.66K","-0.37%"
"Apr 12, 2019","269,000","270,000","272,000","268,000","154.04K","-0.19%"
"Apr 11, 2019","269,500","274,000","275,000","269,500","316.68K","-1.28%"
"Apr 10, 2019","273,000","271,000","273,500","268,500","189.00K","0.00%"
"Apr 09, 2019","273,000","275,000","276,000","272,500","158.37K","-1.27%"
"Apr 08, 2019","276,500","276,000","279,000","272,000","216.79K","0.55%"
"Apr 05, 2019","275,000","274,000","276,500","273,000","136.85K","1.29%"
"Apr 04, 2019","271,500","273,000","275,500","268,500","170.00K","-0.55%"
"Apr 03, 2019","273,000","265,500","273,000","265,500","217.12K","2.25%"
"Apr 02, 2019","267,000","267,000","269,500","266,000","211.32K","0.19%"
"Apr 01, 2019","266,500","254,500","267,000","254,500","383.84K","5.34%"
"Mar 29, 2019","253,000","254,000","254,500","251,000","166.10K","-0.59%"
"Mar 28, 2019","254,500","251,500","255,000","250,500","122.67K","-0.20%"
"Mar 27, 2019","255,000","255,500","256,000","252,500","160.94K","0.20%"
"Mar 26, 2019","254,500","253,000","257,500","253,000","192.42K","0.59%"
"Mar 25, 2019","253,000","252,000","255,000","250,500","214.68K","-2.32%"
"Mar 22, 2019","259,000","258,000","263,500","257,000","208.07K","0.39%"
"Mar 21, 2019","258,000","256,000","261,000","255,000","251.76K","0.58%"
"Mar 20, 2019","256,500","259,500","260,500","253,000","205.74K","-1.16%"
"Mar 19, 2019","259,500","258,500","260,000","257,500","153.73K","0.58%"
"Mar 18, 2019","258,000","261,500","261,500","257,500","124.27K","-1.53%"
"Mar 15, 2019","262,000","257,500","262,000","257,000","271.40K","1.95%"
"Mar 14, 2019","257,000","256,500","257,000","253,500","391.90K","0.59%"
"Mar 13, 2019","255,500","253,000","256,000","252,000","215.10K","1.59%"
"Mar 12, 2019","251,500","250,000","253,500","248,500","215.38K","1.41%"
"Mar 11, 2019","248,000","250,000","252,000","245,500","199.35K","-0.60%"
"Mar 08, 2019","249,500","251,000","255,000","249,000","221.95K","-0.40%"
"Mar 07, 2019","250,500","256,500","257,000","250,000","269.48K","-1.76%"
"Mar 06, 2019","255,000","256,500","258,500","254,000","181.63K","-0.20%"
"Mar 05, 2019","255,500","261,500","263,000","253,000","375.90K","-3.04%"
"Mar 04, 2019","263,500","264,000","267,000","262,500","301.39K","0.19%"
"Feb 28, 2019","263,000","267,500","268,000","262,500","367.04K","-1.13%"
"Feb 27, 2019","266,000","272,500","273,500","265,500","321.76K","-2.74%"
"Feb 26, 2019","273,500","271,000","275,000","270,000","212.47K","0.37%"
"Feb 25, 2019","272,500","273,500","275,000","270,500","182.44K","-0.18%"
"Feb 22, 2019","273,000","274,000","274,000","270,500","131.59K","-0.91%"
"Feb 21, 2019","275,500","273,000","276,500","270,000","242.59K","0.73%"
"Feb 20, 2019","273,500","269,500","275,000","269,500","346.15K","1.86%"
"Feb 19, 2019","268,500","263,000","269,500","262,000","236.57K","2.29%"
"Feb 18, 2019","262,500","265,500","267,500","262,000","268.22K","-1.13%"
"Feb 15, 2019","265,500","264,500","267,000","263,000","153.79K","-0.38%"
"Feb 14, 2019","266,500","264,000","266,500","260,000","365.48K","-0.19%"
"Feb 13, 2019","267,000","267,000","268,000","265,500","188.82K","0.56%"
"Feb 12, 2019","265,500","268,000","268,000","262,500","174.12K","-0.56%"
"Feb 11, 2019","267,000","266,000","269,000","261,500","261.96K","1.14%"
"Feb 08, 2019","264,000","271,000","271,500","263,000","368.50K","-4.35%"
"Feb 07, 2019","276,000","272,000","279,500","268,500","360.75K","2.03%"
"Feb 01, 2019","270,500","273,000","275,500","270,000","274.11K","-1.28%"
"Jan 31, 2019","274,000","288,500","289,000","274,000","408.68K","-3.86%"
"Jan 30, 2019","285,000","274,500","285,000","271,000","530.68K","6.15%"
"Jan 29, 2019","268,500","266,000","268,500","264,000","179.70K","-0.19%"
"Jan 28, 2019","269,000","268,500","272,500","266,000","247.46K","0.37%"
"Jan 25, 2019","268,000","262,500","270,000","262,000","281.80K","1.32%"
"Jan 24, 2019","264,500","261,500","267,000","261,000","309.21K","-0.19%"
"Jan 23, 2019","265,000","265,500","269,000","260,000","200.94K","-0.75%"
"Jan 22, 2019","267,000","269,000","270,500","266,000","253.33K","-0.37%"
"Jan 21, 2019","268,000","265,500","269,500","265,000","247.33K","2.10%"
"Jan 18, 2019","262,500","264,500","267,000","261,000","198.77K","-0.19%"
"Jan 17, 2019","263,000","262,500","266,500","257,500","252.09K","-0.19%"
"Jan 16, 2019","263,500","255,000","265,000","254,500","315.44K","2.73%"
"Jan 15, 2019","256,500","251,000","257,500","251,000","204.02K","2.60%"
"Jan 14, 2019","250,000","253,000","255,500","248,500","180.71K","-2.15%"
"Jan 11, 2019","255,500","257,000","258,000","253,000","208.61K","-1.16%"
"Jan 10, 2019","258,500","256,000","258,500","250,000","281.84K","1.17%"
"Jan 09, 2019","255,500","246,500","258,000","246,500","376.58K","4.07%"
