"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","358,500","363,000","364,500","358,500","184.72K","-1.78%"
"Apr 25, 2019","365,000","357,500","365,500","356,500","264.26K","0.97%"
"Apr 24, 2019","361,500","371,500","371,500","359,500","373.62K","-2.56%"
"Apr 23, 2019","371,000","369,500","372,500","366,500","151.75K","0.13%"
"Apr 22, 2019","370,500","368,500","374,500","368,000","164.29K","1.09%"
"Apr 19, 2019","366,500","370,000","371,000","366,500","109.94K","-0.68%"
"Apr 18, 2019","369,000","369,500","373,000","367,000","262.75K","-0.54%"
"Apr 17, 2019","371,000","374,000","377,000","370,500","150.16K","-0.67%"
"Apr 16, 2019","373,500","373,500","377,000","371,000","144.19K","-0.13%"
"Apr 15, 2019","374,000","379,000","381,500","373,000","218.74K","-1.58%"
"Apr 12, 2019","380,000","387,000","387,000","379,500","206.23K","-2.19%"
"Apr 11, 2019","388,500","389,000","390,000","385,000","206.64K","-0.13%"
"Apr 10, 2019","389,000","387,000","389,000","381,500","171.69K","0.52%"
"Apr 09, 2019","387,000","387,000","390,000","380,500","159.29K","0.91%"
"Apr 08, 2019","383,500","377,000","387,000","377,000","246.87K","1.59%"
"Apr 05, 2019","377,500","377,000","379,000","374,000","111.41K","0.27%"
"Apr 04, 2019","376,500","378,000","380,000","373,500","117.45K","0.00%"
"Apr 03, 2019","376,500","366,500","377,000","365,500","182.73K","1.21%"
"Apr 02, 2019","372,000","372,500","375,000","369,500","124.57K","0.40%"
"Apr 01, 2019","370,500","367,000","376,000","366,500","170.85K","1.23%"
"Mar 29, 2019","366,000","365,000","366,000","359,000","141.88K","1.39%"
"Mar 28, 2019","361,000","361,000","364,500","359,000","153.95K","-0.41%"
"Mar 27, 2019","362,500","366,000","367,000","360,500","186.08K","-1.09%"
"Mar 26, 2019","366,500","367,500","369,000","364,000","126.12K","-0.14%"
"Mar 25, 2019","367,000","368,000","371,500","364,000","261.21K","-3.29%"
"Mar 22, 2019","379,500","380,000","383,500","376,000","168.10K","-0.65%"
"Mar 21, 2019","382,000","375,500","382,000","370,000","421.68K","5.23%"
"Mar 20, 2019","363,000","371,000","371,000","358,500","195.08K","-1.76%"
"Mar 19, 2019","369,500","369,000","370,000","365,500","101.64K","0.96%"
"Mar 18, 2019","366,000","375,000","375,000","364,500","143.20K","-1.21%"
"Mar 15, 2019","370,500","366,000","374,000","364,500","200.97K","0.14%"
"Mar 14, 2019","370,000","368,000","370,000","364,500","218.38K","1.93%"
"Mar 13, 2019","363,000","365,000","365,500","359,500","130.55K","-0.68%"
"Mar 12, 2019","365,500","364,500","369,500","362,500","134.47K","1.25%"
"Mar 11, 2019","361,000","364,500","365,500","358,000","176.05K","-0.96%"
"Mar 08, 2019","364,500","369,500","375,000","363,500","240.82K","-0.41%"
"Mar 07, 2019","366,000","373,500","375,500","364,500","215.47K","-1.88%"
"Mar 06, 2019","373,000","373,500","376,500","370,000","185.74K","-0.13%"
"Mar 05, 2019","373,500","384,500","385,000","371,500","300.78K","-3.49%"
"Mar 04, 2019","387,000","395,000","400,000","385,500","272.59K","-0.90%"
"Feb 28, 2019","390,500","391,000","393,500","387,000","232.02K","-0.38%"
"Feb 27, 2019","392,000","388,000","393,000","386,000","203.79K","1.55%"
"Feb 26, 2019","386,000","385,500","388,500","380,500","186.08K","0.13%"
"Feb 25, 2019","385,500","386,500","389,000","381,500","184.02K","0.52%"
"Feb 22, 2019","383,500","387,000","388,000","375,500","321.10K","-1.03%"
"Feb 21, 2019","387,500","391,000","392,500","386,500","194.63K","-1.77%"
"Feb 20, 2019","394,500","390,000","395,000","388,500","187.21K","1.15%"
"Feb 19, 2019","390,000","390,500","394,500","387,500","167.44K","-0.26%"
"Feb 18, 2019","391,000","383,000","395,000","382,000","390.79K","2.89%"
"Feb 15, 2019","380,000","380,000","382,000","377,000","161.52K","0.00%"
"Feb 14, 2019","380,000","375,500","380,000","373,000","173.99K","0.53%"
"Feb 13, 2019","378,000","372,000","378,500","371,000","238.82K","1.75%"
"Feb 12, 2019","371,500","372,000","372,500","368,500","161.48K","-0.13%"
"Feb 11, 2019","372,000","374,000","375,500","369,000","212.33K","0.54%"
"Feb 08, 2019","370,000","368,000","375,000","366,000","147.81K","0.14%"
"Feb 07, 2019","369,500","368,000","373,000","368,000","203.52K","0.41%"
"Feb 01, 2019","368,000","369,500","373,000","367,000","185.93K","0.00%"
"Jan 31, 2019","368,000","384,500","385,000","367,000","362.37K","-2.90%"
"Jan 30, 2019","379,000","378,500","382,500","368,500","290.50K","0.26%"
"Jan 29, 2019","378,000","374,500","378,000","373,000","129.30K","0.93%"
"Jan 28, 2019","374,500","376,500","380,500","371,000","168.30K","0.27%"
"Jan 25, 2019","373,500","364,000","376,000","363,000","179.51K","1.63%"
"Jan 24, 2019","367,500","365,000","372,500","364,000","163.62K","-0.41%"
"Jan 23, 2019","369,000","365,000","371,000","361,500","135.59K","0.82%"
"Jan 22, 2019","366,000","369,500","371,500","361,500","168.83K","-1.08%"
"Jan 21, 2019","370,000","370,000","373,000","366,000","185.04K","0.41%"
"Jan 18, 2019","368,500","365,500","371,000","363,000","175.04K","2.36%"
"Jan 17, 2019","360,000","366,000","369,500","359,500","195.34K","-1.64%"
"Jan 16, 2019","366,000","356,000","367,500","356,000","338.21K","2.81%"
"Jan 15, 2019","356,000","350,500","356,000","348,500","162.84K","1.57%"
"Jan 14, 2019","350,500","349,000","354,500","347,000","116.33K","0.43%"
"Jan 11, 2019","349,000","347,000","353,000","344,000","133.49K","0.58%"
"Jan 10, 2019","347,000","352,000","354,000","344,500","160.69K","-1.42%"
"Jan 09, 2019","352,000","349,500","353,000","346,500","188.36K","0.72%"
"Jan 08, 2019","349,500","346,500","351,500","343,000","191.51K","1.90%"
"Jan 07, 2019","343,000","340,000","350,000","337,500","295.60K","3.78%"
"Jan 04, 2019","330,500","327,500","331,500","321,500","146.74K","0.76%"
"Jan 03, 2019","328,000","337,500","341,000","327,500","232.70K","-2.67%"
"Jan 02, 2019","337,000","351,000","353,500","335,500","227.11K","-2.88%"
"Dec 28, 2018","347,000","349,000","352,500","345,500","107.78K","0.00%"
"Dec 27, 2018","347,000","359,000","359,500","345,500","172.35K","-1.70%"
"Dec 26, 2018","353,000","350,000","356,500","347,500","190.50K","-1.26%"
"Dec 24, 2018","357,500","357,000","362,500","355,000","104.91K","-0.28%"
"Dec 21, 2018","358,500","344,000","361,500","341,500","396.31K","4.22%"
"Dec 20, 2018","344,000","351,500","351,500","338,000","253.50K","-2.41%"
"Dec 19, 2018","352,500","342,000","355,000","342,000","276.63K","3.68%"
"Dec 18, 2018","340,000","349,000","349,500","337,500","253.38K","-3.27%"
"Dec 17, 2018","351,500","352,500","358,000","351,500","133.42K","0.00%"
"Dec 14, 2018","351,500","356,500","361,000","346,000","167.81K","-0.99%"
"Dec 13, 2018","355,000","352,500","361,000","350,000","281.62K","1.43%"
"Dec 12, 2018","350,000","351,500","353,000","346,000","160.85K","0.14%"
"Dec 11, 2018","349,500","343,500","351,500","343,500","162.41K","1.30%"
"Dec 10, 2018","345,000","347,500","351,000","340,500","179.28K","-1.85%"
"Dec 07, 2018","351,500","355,000","360,000","351,000","131.34K","-0.57%"
