"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","212,000","210,500","214,500","209,500","362.27K","0.24%"
"Apr 25, 2019","211,500","216,000","219,000","210,000","527.80K","-2.98%"
"Apr 24, 2019","218,000","223,000","223,500","218,000","446.92K","-1.58%"
"Apr 23, 2019","221,500","222,000","224,500","216,500","625.46K","0.45%"
"Apr 22, 2019","220,500","218,500","224,000","218,000","881.25K","1.15%"
"Apr 19, 2019","218,000","204,500","220,000","204,000","1.29M","7.13%"
"Apr 18, 2019","203,500","208,500","209,000","202,000","385.38K","-2.40%"
"Apr 17, 2019","208,500","208,500","211,000","207,000","310.86K","0.24%"
"Apr 16, 2019","208,000","202,500","209,000","201,000","386.48K","2.21%"
"Apr 15, 2019","203,500","209,500","210,000","202,500","480.92K","-2.63%"
"Apr 12, 2019","209,000","209,000","211,000","205,500","307.80K","-0.71%"
"Apr 11, 2019","210,500","206,500","210,500","205,500","645.37K","2.43%"
"Apr 10, 2019","205,500","205,500","210,000","203,000","706.41K","0.49%"
"Apr 09, 2019","204,500","199,500","206,000","198,500","1.02M","4.60%"
"Apr 08, 2019","195,500","194,000","195,500","192,000","364.96K","1.82%"
"Apr 05, 2019","192,000","192,500","194,000","189,500","246.82K","-0.26%"
"Apr 04, 2019","192,500","194,000","195,000","192,000","267.17K","-0.52%"
"Apr 03, 2019","193,500","190,500","195,000","188,000","500.79K","1.84%"
"Apr 02, 2019","190,000","183,500","190,500","183,500","663.09K","4.40%"
"Apr 01, 2019","182,000","180,500","184,000","180,000","421.76K","0.55%"
"Mar 29, 2019","181,000","180,500","184,000","179,000","700.34K","0.28%"
"Mar 28, 2019","180,500","180,500","185,500","178,500","975.10K","-1.37%"
"Mar 27, 2019","183,000","193,000","194,000","182,000","1.54M","-4.94%"
"Mar 26, 2019","192,500","198,500","199,000","192,000","931.44K","-2.78%"
"Mar 25, 2019","198,000","198,500","200,500","197,000","265.84K","-0.75%"
"Mar 22, 2019","199,500","200,500","201,500","199,000","267.26K","-0.50%"
"Mar 21, 2019","200,500","200,500","202,500","200,500","300.73K","-0.25%"
"Mar 20, 2019","201,000","203,500","204,000","200,000","343.99K","-0.99%"
"Mar 19, 2019","203,000","201,500","205,000","201,500","278.04K","1.00%"
"Mar 18, 2019","201,000","202,500","204,500","201,000","357.93K","-0.99%"
"Mar 15, 2019","203,000","205,000","205,000","201,000","515.27K","-1.46%"
"Mar 14, 2019","206,000","209,500","209,500","202,000","697.55K","-0.72%"
"Mar 13, 2019","207,500","209,000","210,000","207,000","275.57K","-0.72%"
"Mar 12, 2019","209,000","206,000","209,500","205,500","401.23K","1.95%"
"Mar 11, 2019","205,000","205,500","206,500","202,500","295.02K","-0.49%"
"Mar 08, 2019","206,000","206,000","209,000","205,500","320.96K","-0.48%"
"Mar 07, 2019","207,000","209,500","211,000","205,000","393.78K","-1.90%"
"Mar 06, 2019","211,000","212,000","212,500","208,500","434.53K","0.48%"
"Mar 05, 2019","210,000","207,500","212,000","206,500","606.29K","1.20%"
"Mar 04, 2019","207,500","207,000","209,500","205,500","440.49K","1.47%"
